,5m-7.5m,7.5m-10m,10m-20m,20m+,prices
2020-09-29 20:00:00,5.0,2.0,1.0,10.0,10756.29
2020-09-29 21:00:00,6.0,0.0,1.0,5.0,10770.45
2020-09-29 22:00:00,6.0,0.0,3.0,2.0,10767.12
2020-09-29 23:00:00,3.0,0.0,1.0,2.0,10840.73
2020-09-30 00:00:00,2.0,0.0,0.0,2.0,10810.01
2020-09-30 01:00:00,3.0,1.0,0.0,2.0,10792.3
2020-09-30 02:00:00,3.0,0.0,1.0,5.0,10774.11
2020-09-30 03:00:00,2.0,1.0,1.0,1.0,10739.84
2020-09-30 04:00:00,1.0,0.0,0.0,2.0,10748.95
2020-09-30 05:00:00,4.0,0.0,5.0,12.0,10698.01
2020-09-30 06:00:00,7.0,3.0,2.0,2.0,10713.24
2020-09-30 07:00:00,0.0,1.0,0.0,1.0,10695.17
2020-09-30 08:00:00,3.0,1.0,1.0,2.0,10703.82
2020-09-30 09:00:00,3.0,3.0,1.0,2.0,10691.87
2020-09-30 10:00:00,1.0,2.0,2.0,4.0,10721.37
2020-09-30 11:00:00,7.0,5.0,1.0,5.0,10675.87
2020-09-30 12:00:00,7.0,1.0,1.0,2.0,10722.8
2020-09-30 13:00:00,12.0,2.0,1.0,6.0,10737.07
2020-09-30 14:00:00,6.0,1.0,3.0,5.0,10747.56
2020-09-30 15:00:00,2.0,0.0,1.0,0.0,10780.83
2020-09-30 16:00:00,6.0,0.0,4.0,2.0,10787.11
2020-09-30 17:00:00,4.0,0.0,4.0,4.0,10769.47
2020-09-30 18:00:00,1.0,0.0,1.0,5.0,10729.76
2020-09-30 19:00:00,4.0,1.0,2.0,1.0,10708.57
2020-09-30 20:00:00,4.0,0.0,1.0,3.0,10704.49
2020-09-30 21:00:00,1.0,0.0,3.0,9.0,10707.38
2020-09-30 22:00:00,0.0,0.0,0.0,7.0,10743.92
2020-09-30 23:00:00,1.0,0.0,1.0,2.0,10779.63
2020-10-01 00:00:00,2.0,1.0,0.0,4.0,10786.25
2020-10-01 01:00:00,1.0,0.0,0.0,2.0,10840.58
2020-10-01 02:00:00,3.0,1.0,1.0,1.0,10820.0
2020-10-01 03:00:00,0.0,0.0,0.0,0.0,10801.53
2020-10-01 04:00:00,0.0,1.0,2.0,1.0,10806.01
2020-10-01 05:00:00,1.0,0.0,0.0,1.0,10823.65
2020-10-01 06:00:00,0.0,2.0,0.0,3.0,10823.35
2020-10-01 07:00:00,2.0,1.0,0.0,3.0,10828.54
2020-10-01 08:00:00,4.0,1.0,0.0,0.0,10878.07
2020-10-01 09:00:00,1.0,0.0,0.0,1.0,10901.23
2020-10-01 10:00:00,3.0,2.0,1.0,2.0,10872.4
2020-10-01 11:00:00,3.0,0.0,2.0,0.0,10908.27
2020-10-01 12:00:00,2.0,1.0,0.0,2.0,10889.61
2020-10-01 13:00:00,3.0,0.0,14.0,3.0,10863.99
2020-10-01 14:00:00,1.0,1.0,1.0,1.0,10862.11
2020-10-01 15:00:00,3.0,2.0,2.0,1.0,10715.98
2020-10-01 16:00:00,4.0,3.0,3.0,5.0,10509.58
2020-10-01 17:00:00,2.0,1.0,0.0,2.0,10472.97
2020-10-01 18:00:00,4.0,0.0,1.0,12.0,10584.87
2020-10-01 19:00:00,4.0,0.0,0.0,6.0,10615.01
